"","descr","svcdate","cost","taxnbv","deprmeth","life","propno","group","yearsinsvc","remyears","expreason","type"
"2976","framing                                      ","12/1/2012",828,796.64,"S/L",27.5,"180","Capital Improvements",1.08,26.42,"None","framing"
"2977","finish hardware                              ","1/1/2013",6111.44,5898.47,"S/L",27.5,"180","Furniture & Fixtures",1,26.5,"None","None"
"2978","hvac-apt int                                 ","4/1/2013",1000,974.24,"S/L",27.5,"180","Capital Improvements",0.75,26.75,"None","None"
"2979","hvac-apt int                                 ","5/1/2013",1000,977.27,"S/L",27.5,"180","Capital Improvements",0.67,26.83,"None","None"
"2980","interior painting-apt int                    ","6/1/2013",1947.74,1909.38,"S/L",27.5,"180","Capital Improvements",0.58,26.92,"None","painting"
"2981","interior painting-apt int                    ","9/1/2013",4742.63,4692.33,"S/L",27.5,"180","Capital Improvements",0.33,27.17,"None","painting"
"2982","interior painting-apt int                    ","10/1/2013",6663.78,6613.3,"S/L",27.5,"180","Capital Improvements",0.25,27.25,"None","painting"
"2983","interior painting-apt int                    ","5/1/2013",6786.5,6632.26,"S/L",27.5,"180","Capital Improvements",0.67,26.83,"None","painting"
"2984","interior painting-apt int                    ","12/1/2013",9176.4,9162.5,"S/L",27.5,"180","Capital Improvements",0.08,27.42,"None","painting"
"2985","install grab bars                            ","2/1/2012",509.1,474.39,"S/L",27.5,"180","Capital Improvements",1.92,25.58,"None","None"
"2986","interior painting-apt int                    ","8/1/2013",10106.31,9968.5,"S/L",27.5,"180","Capital Improvements",0.42,27.08,"None","painting"
"2987","int. paint - apt. int. - burn unit           ","5/1/2012",7699.95,7244.95,"S/L",27.5,"180","Capital Improvements",1.67,25.83,"None","painting"
"2988","interior painting-apt int                    ","11/1/2013",16608.61,16533.12,"S/L",27.5,"180","Capital Improvements",0.16,27.34,"None","painting"
"2989","interior painting-apt int                    ","7/1/2013",23954.59,23555.35,"S/L",27.5,"180","Capital Improvements",0.5,27,"None","painting"
"2990","landscaping-site                             ","9/1/2013",1440,684,"150DB",15,"180","Land Improvements",0.33,14.67,"None","landscaping"
"2991","landscaping-site                             ","7/1/2013",6697,3181.07,"150DB",15,"180","Land Improvements",0.5,14.5,"None","landscaping"
"2992","lighting & fixtures-apt int                  ","2/1/2013",1915.14,1854.2,"S/L",27.5,"180","Capital Improvements",0.91,26.59,"None","lighting"
"2993","lighting & fixtures-apt int                  ","12/1/2013",2721.9,2717.78,"S/L",27.5,"180","Capital Improvements",0.08,27.42,"None","lighting"
"2994","lighting & fixtures-apt int                  ","4/1/2013",3794.11,3696.38,"S/L",27.5,"180","Capital Improvements",0.75,26.75,"None","lighting"
"2995","lighting & fixtures-apt int                  ","11/1/2013",4745.18,4723.61,"S/L",27.5,"180","Capital Improvements",0.16,27.34,"None","lighting"
"2996","lighting & fixtures-apt int                  ","10/1/2013",4775.37,4739.19,"S/L",27.5,"180","Capital Improvements",0.25,27.25,"None","lighting"
"2997","lighting & fixtures-apt int                  ","7/1/2013",5509.87,5418.04,"S/L",27.5,"180","Capital Improvements",0.5,27,"None","lighting"
"2998","lighting & fixtures-apt int                  ","5/1/2013",5981.05,5845.12,"S/L",27.5,"180","Capital Improvements",0.67,26.83,"None","lighting"
"2999","lighting & fixtures-apt int                  ","9/1/2013",7159.79,7083.85,"S/L",27.5,"180","Capital Improvements",0.33,27.17,"None","lighting"
"3000","lighting & fixtures-apt int                  ","8/1/2013",7601.12,7497.47,"S/L",27.5,"180","Capital Improvements",0.42,27.08,"None","lighting"
"3001","lighting & fixtures-apt int                  ","3/1/2013",7998.11,7767.86,"S/L",27.5,"180","Capital Improvements",0.84,26.66,"None","lighting"
"3004","lump sum maintenance                         ","5/1/2013",2887.93,1371.76,"150DB",15,"180","Land Improvements",0.67,14.33,"None","None"
"3005","lump sum tennis court                        ","8/1/2013",1733.8,823.55,"150DB",15,"180","Land Improvements",0.42,14.58,"None","None"
"3006","major plumbing replacements                  ","3/1/2013",2705,2627.13,"S/L",27.5,"180","Capital Improvements",0.84,26.66,"None","plumbing"
"3007","interior painting-apt int                    ","9/1/2012",900,857.72,"S/L",27.5,"180","Capital Improvements",1.33,26.17,"None","painting"
"3008","interior rebuilding                          ","7/1/2012",1786.18,1691.46,"S/L",27.5,"180","Capital Improvements",1.5,26,"None","None"
"3009","playfields & equipment                       ","6/1/2013",1318,527.2,"200DB",5,"180","Land Improvements",0.58,4.42,"None","None"
"3010","playfields & equipment                       ","5/1/2013",3350.86,1340.34,"200DB",5,"180","Land Improvements",0.67,4.33,"None","None"
"3011","jan mgmt fee                                 ","1/1/2012",9873.22,9170.12,"S/L",27.5,"180","Capital Improvements",2,25.5,"None","supervision"
"3012","plumbing-apt int                             ","12/1/2013",4075,4068.83,"S/L",27.5,"180","Capital Improvements",0.08,27.42,"None","plumbing"
"3013","plumbing-apt int                             ","4/1/2013",5200,5066.06,"S/L",27.5,"180","Capital Improvements",0.75,26.75,"None","plumbing"
"3014","refrigerator/icemaker                        ","12/1/2013",1067.86,427.14,"200DB",5,"180","Furniture & Fixtures",0.08,4.92,"None","refrigerator"
"3015","march mgmt fee                               ","3/1/2012",7923.53,7407.3,"S/L",27.5,"180","Capital Improvements",1.84,25.66,"None","supervision"
"3016","residential equipment                        ","10/1/2013",2193.15,877.26,"200DB",5,"180","Equipment",0.25,4.75,"None","None"
"3017","residential equipment                        ","8/1/2013",3881.28,1552.51,"200DB",5,"180","Equipment",0.42,4.58,"None","None"
"3018","membrane roofing                             ","12/1/2012",500,481.06,"S/L",27.5,"180","Capital Improvements",1.08,26.42,"None","roof"
"3019","metal fabrications-apt int                   ","12/1/2012",1259,1211.31,"S/L",27.5,"180","Capital Improvements",1.08,26.42,"None","brick"
"3020","plaster & stucco                             ","10/1/2012",269.4,257.56,"S/L",27.5,"180","Capital Improvements",1.25,26.25,"None","None"
"3021","plaster & stucco                             ","4/1/2012",1100,1031.67,"S/L",27.5,"180","Capital Improvements",1.75,25.75,"None","None"
"3022","resilient flooring-apt int                   ","2/1/2013",1624.74,1573.04,"S/L",27.5,"180","Capital Improvements",0.91,26.59,"None","doors"
"3023","plumbing-apt int                             ","12/1/2012",1400,1346.97,"S/L",27.5,"180","Capital Improvements",1.08,26.42,"None","plumbing"
"3024","sanitary sewer systems                       ","3/1/2013",1750,831.25,"150DB",15,"180","Land Improvements",0.84,14.16,"None","sewer"
"3025","sanitary sewer systems                       ","9/1/2013",3480,1653,"150DB",15,"180","Land Improvements",0.33,14.67,"None","sewer"
"3026","shingles & roofing tiles                     ","10/1/2013",2680,2659.7,"S/L",27.5,"180","Capital Improvements",0.25,27.25,"None","tile"
"3027","resilient flooring-apt int                   ","9/1/2012",1095.96,1044.49,"S/L",27.5,"180","Capital Improvements",1.33,26.17,"None","doors"
"3028","supervision                                  ","4/1/2013",1193.47,1162.73,"S/L",27.5,"180","Capital Improvements",0.75,26.75,"None","supervision"
"3029","supervision                                  ","12/1/2013",1597.33,1594.91,"S/L",27.5,"180","Capital Improvements",0.08,27.42,"None","supervision"
"3030","supervision                                  ","10/1/2013",1937.23,1922.55,"S/L",27.5,"180","Capital Improvements",0.25,27.25,"None","supervision"
"3031","supervision                                  ","2/1/2013",1994.69,1931.22,"S/L",27.5,"180","Capital Improvements",0.91,26.59,"None","supervision"
"3032","supervision                                  ","9/1/2013",2006.67,1985.39,"S/L",27.5,"180","Capital Improvements",0.33,27.17,"None","supervision"
"3033","supervision                                  ","8/1/2013",2375.03,2342.64,"S/L",27.5,"180","Capital Improvements",0.42,27.08,"None","supervision"
"3034","supervision                                  ","5/1/2013",2759.09,2696.38,"S/L",27.5,"180","Capital Improvements",0.67,26.83,"None","supervision"
"3035","supervision                                  ","11/1/2013",3203.81,3189.25,"S/L",27.5,"180","Capital Improvements",0.16,27.34,"None","supervision"
"3036","supervision                                  ","7/1/2013",4213.8,4143.57,"S/L",27.5,"180","Capital Improvements",0.5,27,"None","supervision"
"3037","supervision                                  ","3/1/2013",4665.49,4531.18,"S/L",27.5,"180","Capital Improvements",0.84,26.66,"None","supervision"
"3038","tennis courts                                ","7/1/2013",1010,479.75,"150DB",15,"180","Land Improvements",0.5,14.5,"None","None"
"3039","tree removal                                 ","5/1/2013",3760,1786,"150DB",15,"180","Land Improvements",0.67,14.33,"None","removal"
"3040","washer/dryer                                 ","2/1/2013",12718,5087.2,"200DB",5,"180","Furniture & Fixtures",0.91,4.09,"None","dryer"
"3041","washer/dryer                                 ","3/1/2013",32479,12991.6,"200DB",5,"180","Furniture & Fixtures",0.84,4.16,"None","dryer"
"3042","water heaters                                ","3/1/2013",1027.5,411,"200DB",5,"180","Capital Improvements",0.84,4.16,"None","water heater"
"3043","supervision                                  ","12/1/2012",3639.93,3502.05,"S/L",27.5,"180","Capital Improvements",1.08,26.42,"None","supervision"
"3044","supervision                                  ","11/1/2012",303.16,290.76,"S/L",27.5,"180","Capital Improvements",1.16,26.34,"None","supervision"
"3045","supervision                                  ","10/1/2012",1826.66,1746.4,"S/L",27.5,"180","Capital Improvements",1.25,26.25,"None","supervision"
"3046","supervision                                  ","9/1/2012",612.83,584.05,"S/L",27.5,"180","Capital Improvements",1.33,26.17,"None","supervision"
