"","descr","svcdate","cost","taxnbv","deprmeth","life","propno","group","yearsinsvc","remyears","expreason","type"
"6135","305_dishwasher                               ","8/4/2009",1021.36,29.41,"200DB",5,"305","Equipment",4.41,0.59,"None","dishwasher"
"6136","305_range                                    ","8/4/2009",371.12,10.69,"200DB",5,"305","Equipment",4.41,0.59,"None","range"
"6137","305_carpet                                   ","8/11/2009",821.36,23.65,"200DB",5,"305","Capital Improvements",4.39,0.61,"None","carpet"
"6138","305_compressor                               ","8/11/2009",1076.16,904.97,"S/L",27.5,"305","Capital Improvements",4.39,23.11,"None","compressor"
"6139","305_hoods                                    ","8/11/2009",120,3.46,"200DB",5,"305","Equipment",4.39,0.61,"repair below $200","range"
"6140","305_hoods                                    ","8/11/2009",382.61,11.02,"200DB",5,"305","Equipment",4.39,0.61,"None","range"
"6141","305_hvac                                     ","8/11/2009",1865.85,1569.01,"S/L",27.5,"305","Capital Improvements",4.39,23.11,"None","None"
"6142","305_carpet                                   ","8/18/2009",3191.79,91.92,"200DB",5,"305","Capital Improvements",4.37,0.63,"None","carpet"
"6143","305_ext painting                             ","8/18/2009",28350,23839.77,"S/L",27.5,"305","Capital Improvements",4.37,23.13,"None","painting"
"6144","305_hvac                                     ","8/18/2009",10871.75,9142.14,"S/L",27.5,"305","Capital Improvements",4.37,23.13,"None","None"
"6145","305_landscaping                              ","8/18/2009",40582.67,12647.47,"150DB",15,"305","Land Improvements",4.37,10.63,"None","landscaping"
"6146","305_metal                                    ","8/18/2009",1581.98,1330.29,"S/L",27.5,"305","Capital Improvements",4.37,23.13,"None","None"
"6147","305_metal                                    ","8/18/2009",7118.88,5986.32,"S/L",27.5,"305","Capital Improvements",4.37,23.13,"None","None"
"6148","305_paint                                    ","8/18/2009",528.09,444.09,"S/L",27.5,"305","Capital Improvements",4.37,23.13,"None","painting"
"6149","305_painting                                 ","8/18/2009",22465,18891.02,"S/L",27.5,"305","Capital Improvements",4.37,23.13,"None","painting"
"6150","305_painting                                 ","8/18/2009",335,281.71,"S/L",27.5,"305","Capital Improvements",4.37,23.13,"None","painting"
"6151","305_parking lot                              ","8/18/2009",8477,2641.83,"150DB",15,"305","Land Improvements",4.37,10.63,"None","parking lot"
"6152","305_pool                                     ","8/18/2009",2242.4,698.84,"150DB",15,"305","Land Improvements",4.37,10.63,"None","pool"
"6153","305_pool                                     ","8/18/2009",5205.46,1622.27,"150DB",15,"305","Land Improvements",4.37,10.63,"None","pool"
"6154","305_range                                    ","8/18/2009",1113.36,32.06,"200DB",5,"305","Equipment",4.37,0.63,"None","range"
"6155","305_ref range                                ","8/18/2009",4552.74,131.12,"200DB",5,"305","Equipment",4.37,0.63,"None","range"
"6156","305_refrigerator4                            ","8/18/2009",2046.88,58.95,"200DB",5,"305","Equipment",4.37,0.63,"None","refrigerator"
"6157","305_fence                                    ","8/26/2009",11200,3490.45,"150DB",15,"305","Land Improvements",4.35,10.65,"None","fences"
"6158","305_hoods 3                                  ","8/26/2009",160,4.61,"200DB",5,"305","Equipment",4.35,0.65,"repair below $200","range"
"6159","305_hvac                                     ","8/26/2009",759.85,638.97,"S/L",27.5,"305","Capital Improvements",4.35,23.15,"None","None"
"6160","305_irrigation system                        ","8/26/2009",21400,6669.25,"150DB",15,"305","Land Improvements",4.35,10.65,"None","irrigation"
"6161","305_carpet                                   ","8/31/2009",2914.68,83.94,"200DB",5,"305","Capital Improvements",4.34,0.66,"None","carpet"
"6162","305_foundation                               ","8/31/2009",725,609.67,"S/L",27.5,"305","Capital Improvements",4.34,23.16,"None","foundation"
"6163","305_frige                                    ","8/31/2009",1138.18,32.78,"200DB",5,"305","Equipment",4.34,0.66,"None","refrigerator"
"6164","305_hvac                                     ","8/31/2009",3957.94,3328.25,"S/L",27.5,"305","Capital Improvements",4.34,23.16,"None","None"
"6165","305_hvac                                     ","8/31/2009",4593.39,3862.63,"S/L",27.5,"305","Capital Improvements",4.34,23.16,"None","None"
"6166","305_landscaping                              ","8/31/2009",6992.96,2179.34,"150DB",15,"305","Land Improvements",4.34,10.66,"None","landscaping"
"6167","305_mgt fee                                  ","8/31/2009",9806.8,8246.63,"S/L",27.5,"305","Capital Improvements",4.34,23.16,"None","supervision"
"6168","305_planter                                  ","8/31/2009",600,186.98,"150DB",15,"305","Capital Improvements",4.34,10.66,"None","None"
"6169","305_pool equp                                ","8/31/2009",2425,755.74,"150DB",15,"305","Equipment",4.34,10.66,"None","pool"
"6170","305_vinyl                                    ","8/31/2009",449.48,12.94,"200DB",5,"305","Capital Improvements",4.34,0.66,"None","vinyl"
"6171","305_dishwasher                               ","9/2/2009",242.04,6.97,"200DB",5,"305","Equipment",4.33,0.67,"None","dishwasher"
"6172","305_range 4                                  ","9/2/2009",750.82,21.62,"200DB",5,"305","Equipment",4.33,0.67,"None","range"
"6173","305_refrigerator 4                           ","9/2/2009",1028.17,29.61,"200DB",5,"305","Equipment",4.33,0.67,"None","refrigerator"
"6174","305_range hood                               ","9/9/2009",80,2.3,"200DB",5,"305","Equipment",4.31,0.69,"repair below $200","range"
"6175","305_range-hood                               ","9/9/2009",411.12,11.84,"200DB",5,"305","Equipment",4.31,0.69,"None","range"
"6176","305_balconies                                ","9/15/2009",4715.8,3979.86,"S/L",27.5,"305","Capital Improvements",4.3,23.2,"None","balcony"
"6177","305_ext painting                             ","9/15/2009",6300,5316.82,"S/L",27.5,"305","Capital Improvements",4.3,23.2,"None","painting"
"6178","305_ext siding                               ","9/15/2009",27455.6,23170.84,"S/L",27.5,"305","Capital Improvements",4.3,23.2,"None","siding"
"6179","305_fences pool                              ","9/15/2009",3451.1,1075.53,"150DB",15,"305","Land Improvements",4.3,10.7,"None","fences"
"6180","305_gutters                                  ","9/15/2009",1151.8,972.06,"S/L",27.5,"305","Capital Improvements",4.3,23.2,"None","gutter"
"6181","305_metal fab                                ","9/15/2009",1156,975.58,"S/L",27.5,"305","Capital Improvements",4.3,23.2,"None","None"
"6182","305_off imprv                                ","9/15/2009",2154.1,1817.93,"S/L",27.5,"305","Capital Improvements",4.3,23.2,"None","None"
"6183","305_range                                    ","9/15/2009",371.12,10.69,"200DB",5,"305","Equipment",4.3,0.7,"None","range"
"6184","305_sec gates                                ","9/15/2009",10929.3,3406.09,"150DB",15,"305","Land Improvements",4.3,10.7,"None","gates"
"6185","305_range-hood                               ","9/28/2009",408.98,11.78,"200DB",5,"305","Equipment",4.26,0.74,"None","range"
"6186","305_termite                                  ","9/28/2009",7252.75,6120.87,"S/L",27.5,"305","Capital Improvements",4.26,23.24,"None","None"
"6187","305_supervision                              ","9/30/2009",7945.65,6705.66,"S/L",27.5,"305","Capital Improvements",4.25,23.25,"None","supervision"
"6188","305_dishwasher 3                             ","10/7/2009",762.02,21.95,"200DB",5,"305","Equipment",4.24,0.76,"None","dishwasher"
"6189","305_range                                    ","10/7/2009",369.19,10.63,"200DB",5,"305","Equipment",4.24,0.76,"None","range"
"6190","305_range hood                               ","10/7/2009",79.59,2.29,"200DB",5,"305","Equipment",4.24,0.76,"repair below $200","range"
"6191","305_fountain pump                            ","10/14/2009",427.59,133.25,"150DB",15,"305","Capital Improvements",4.22,10.78,"None","None"
"6192","305_hvac air handler                         ","10/14/2009",5103.99,4322.92,"S/L",27.5,"305","Capital Improvements",4.22,23.28,"None","HAVC"
"6193","305_hvac conds                               ","10/14/2009",612.32,518.6,"S/L",27.5,"305","Capital Improvements",4.22,23.28,"None","None"
"6194","305_landscaping                              ","10/14/2009",381.8,118.98,"150DB",15,"305","Land Improvements",4.22,10.78,"None","landscaping"
"6195","305_painting                                 ","10/14/2009",27090,22944.41,"S/L",27.5,"305","Capital Improvements",4.22,23.28,"None","painting"
"6196","305_playground roof                          ","10/14/2009",800,249.32,"150DB",15,"305","Land Improvements",4.22,10.78,"None","roof"
"6197","305_refrig &dishwasher                       ","10/14/2009",4552.74,131.12,"200DB",5,"305","Equipment",4.22,0.78,"None","refrigerator"
"6198","305_storm drain                              ","10/14/2009",900.1,762.36,"S/L",27.5,"305","Capital Improvements",4.22,23.28,"None","drainage"
"6199","305_carpet/vinyl                             ","10/21/2009",9667.63,278.43,"200DB",5,"305","Capital Improvements",4.2,0.8,"None","carpet"
"6200","305_range                                    ","10/21/2009",456.79,13.16,"200DB",5,"305","Equipment",4.2,0.8,"None","range"
"6201","305_range & hood                             ","10/21/2009",408.98,11.78,"200DB",5,"305","Equipment",4.2,0.8,"None","range"
"6202","305_ref range dishwasher                     ","10/21/2009",2276.37,65.56,"200DB",5,"305","Equipment",4.2,0.8,"None","range"
"6203","305_refrigerator 3                           ","10/21/2009",1527.14,43.98,"200DB",5,"305","Equipment",4.2,0.8,"None","refrigerator"
"6204","305_mgt fee                                  ","10/30/2009",2613.47,2213.51,"S/L",27.5,"305","Capital Improvements",4.17,23.33,"None","supervision"
"6205","305_gazebo                                   ","11/3/2009",6800,2119.2,"150DB",15,"305","Land Improvements",4.16,10.84,"None","None"
"6206","305_picnic tables                            ","11/3/2009",1287,143.58,"200DB",7,"305","Land Improvements",4.16,2.84,"None","None"
"6207","305_hvac                                     ","11/9/2009",583.47,495.94,"S/L",27.5,"305","Capital Improvements",4.15,23.35,"None","None"
"6208","305_range                                    ","11/9/2009",817.96,23.56,"200DB",5,"305","Equipment",4.15,0.85,"None","range"
"6209","305_refrigerator 2                           ","11/9/2009",1018.09,29.32,"200DB",5,"305","Equipment",4.15,0.85,"None","refrigerator"
"6210","305_hvac                                     ","11/18/2009",523.93,445.35,"S/L",27.5,"305","Capital Improvements",4.12,23.38,"None","None"
"6211","305_powerwasher                              ","11/18/2009",9750,280.8,"200DB",5,"305","Equipment",4.12,0.88,"None","None"
"6212","305_range 2                                  ","11/18/2009",738.38,21.27,"200DB",5,"305","Equipment",4.12,0.88,"None","range"
"6213","305_dishwasher4                              ","11/19/2009",1016.04,29.26,"200DB",5,"305","Equipment",4.12,0.88,"None","dishwasher"
"6214","305_dividers                                 ","11/23/2009",575,16.56,"200DB",5,"305","Equipment",4.11,0.89,"None","None"
"6215","305_range hoods                              ","11/23/2009",79.59,2.29,"200DB",5,"305","Equipment",4.11,0.89,"repair below $200","range"
"6216","305_mgt fee                                  ","11/30/2009",920.6,782.5,"S/L",27.5,"305","Capital Improvements",4.09,23.41,"None","supervision"
"6217","305_bldg imprv                               ","12/1/2009",184386.71,157287.46,"S/L",27.5,"305","Capital Improvements",4.08,23.42,"None","None"
"6218","305_refrigerator                             ","12/15/2009",509.05,14.66,"200DB",5,"305","Equipment",4.05,0.95,"None","refrigerator"
"6219","305_range 3                                  ","12/21/2009",1107.56,31.9,"200DB",5,"305","Equipment",4.03,0.97,"None","range"
"6220","305_range hood                               ","12/28/2009",79.59,2.29,"200DB",5,"305","Equipment",4.01,0.99,"repair below $200","range"
"6221","305_dishwasher                               ","1/13/2010",254.01,21.95,"200DB",5,"305","Equipment",3.97,1.03,"None","dishwasher"
"6222","305_sewer machine rooter                     ","1/20/2010",1429.43,123.5,"200DB",5,"305","Capital Improvements",3.95,1.05,"None","sewer"
"6223","305_range                                    ","1/27/2010",369.19,31.9,"200DB",5,"305","Equipment",3.93,1.07,"None","range"
"6224","305_range                                    ","2/3/2010",956.39,82.63,"200DB",5,"305","Equipment",3.91,1.09,"None","range"
"6225","305_dishwasher                               ","2/3/2010",370.22,31.99,"200DB",5,"305","Equipment",3.91,1.09,"None","dishwasher"
"6226","305_plumbing                                 ","2/3/2010",19874.7,17074.16,"S/L",27.5,"305","Capital Improvements",3.91,23.59,"None","plumbing"
"6227","305_hvac                                     ","2/9/2010",3326.79,2858.03,"S/L",27.5,"305","Capital Improvements",3.89,23.61,"None","None"
"6228","305_vent hoods 3                             ","2/17/2010",120.19,10.38,"200DB",5,"305","Equipment",3.87,1.13,"repair below $200","range"
"6229","305_mgt fee                                  ","2/28/2010",1987.5,1707.45,"S/L",27.5,"305","Capital Improvements",3.84,23.66,"None","supervision"
"6230","305_range                                    ","3/1/2010",413.27,35.71,"200DB",5,"305","Equipment",3.84,1.16,"None","range"
"6231","305_pool pump                                ","3/1/2010",1005.57,348.2,"150DB",15,"305","Capital Improvements",3.84,11.16,"None","pool"
"6232","305_refrigerator 2                           ","3/4/2010",1028.8,88.89,"200DB",5,"305","Equipment",3.83,1.17,"None","refrigerator"
"6233","305_hvac                                     ","3/10/2010",2060.73,1776.59,"S/L",27.5,"305","Capital Improvements",3.81,23.69,"None","None"
"6234","305_vent hood                                ","3/10/2010",40.2,3.47,"200DB",5,"305","Equipment",3.81,1.19,"repair below $200","range"
"6235","305_dishwasher                               ","3/10/2010",256.68,22.18,"200DB",5,"305","Equipment",3.81,1.19,"None","dishwasher"
"6236","305_boiler                                   ","3/26/2010",601.83,518.86,"S/L",27.5,"305","Capital Improvements",3.77,23.73,"None","toilets"
"6237","305_mgt fee                                  ","3/31/2010",60.2,51.9,"S/L",27.5,"305","Capital Improvements",3.76,23.74,"repair below $200","supervision"
"6238","305_range                                    ","4/21/2010",373.07,32.23,"200DB",5,"305","Equipment",3.7,1.3,"None","range"
"6239","305_refrigerator                             ","4/21/2010",514.4,44.45,"200DB",5,"305","Equipment",3.7,1.3,"None","refrigerator"
"6240","305_range hood                               ","4/22/2010",43.03,3.72,"200DB",5,"305","Equipment",3.7,1.3,"repair below $200","range"
"6241","305_hvac                                     ","4/28/2010",2104.38,1820.62,"S/L",27.5,"305","Capital Improvements",3.68,23.82,"None","None"
"6242","305_mgt fee                                  ","4/30/2010",63.73,55.13,"S/L",27.5,"305","Capital Improvements",3.67,23.83,"repair below $200","supervision"
"6243","305_hvac                                     ","5/1/2010",716.01,621.62,"S/L",27.5,"305","Capital Improvements",3.67,23.83,"None","None"
"6244","305_venthood                                 ","5/1/2010",35.31,3.05,"200DB",5,"305","Equipment",3.67,1.33,"repair below $200","range"
"6245","305_range                                    ","5/4/2010",406.99,35.16,"200DB",5,"305","Equipment",3.66,1.34,"None","range"
"6246","305_refrigerator                             ","5/4/2010",503.14,43.48,"200DB",5,"305","Equipment",3.66,1.34,"None","refrigerator"
"6247","305_dishwasher                               ","5/4/2010",251.06,21.69,"200DB",5,"305","Equipment",3.66,1.34,"None","dishwasher"
"6248","305_hvac                                     ","5/6/2010",637.29,553.3,"S/L",27.5,"305","Capital Improvements",3.66,23.84,"None","None"
"6249","305_refrigerator                             ","5/19/2010",514.4,44.45,"200DB",5,"305","Equipment",3.62,1.38,"None","refrigerator"
"6250","305_landscaping                              ","5/19/2010",2445.31,846.75,"150DB",15,"305","Land Improvements",3.62,11.38,"None","landscaping"
"6251","305_appliances                               ","5/19/2010",2276.37,196.67,"200DB",5,"305","Equipment",3.62,1.38,"None","appliances"
"6252","305_venthood                                 ","5/24/2010",31.67,2.74,"200DB",5,"305","Equipment",3.61,1.39,"repair below $200","range"
"6253","305_dishwasher                               ","5/24/2010",269.81,23.31,"200DB",5,"305","Equipment",3.61,1.39,"None","dishwasher"
"6254","305_mgt fee                                  ","5/31/2010",472.2,40.8,"200DB",5,"305","Capital Improvements",3.59,1.41,"None","supervision"
"6255","305_range                                    ","6/1/2010",373.07,32.23,"200DB",5,"305","Equipment",3.59,1.41,"None","range"
"6256","305_refrigerator                             ","6/1/2010",514.4,44.45,"200DB",5,"305","Equipment",3.59,1.41,"None","refrigerator"
"6257","305_dishwasher                               ","6/1/2010",256.68,22.18,"200DB",5,"305","Equipment",3.59,1.41,"None","dishwasher"
"6258","305_range                                    ","6/1/2010",455.62,39.37,"200DB",5,"305","Equipment",3.59,1.41,"None","range"
"6259","305_vent hood                                ","6/9/2010",32.46,2.8,"200DB",5,"305","Equipment",3.56,1.44,"repair below $200","range"
"6260","305_hvac                                     ","6/15/2010",672.36,585.77,"S/L",27.5,"305","Capital Improvements",3.55,23.95,"None","None"
"6261","305_ven hoods                                ","6/30/2010",35.31,3.05,"200DB",5,"305","Equipment",3.51,1.49,"repair below $200","range"
"6262","305_range hood                               ","7/28/2010",32.48,2.8,"200DB",5,"305","Equipment",3.43,1.57,"repair below $200","range"
"6263","305_range                                    ","8/4/2010",371.12,32.06,"200DB",5,"305","Equipment",3.41,1.59,"None","range"
"6264","305_refrigerator                             ","8/4/2010",511.72,44.21,"200DB",5,"305","Equipment",3.41,1.59,"None","refrigerator"
"6265","305_dishwasher                               ","8/4/2010",255.34,22.06,"200DB",5,"305","Equipment",3.41,1.59,"None","dishwasher"
"6266","305_range hood                               ","8/5/2010",32.46,2.8,"200DB",5,"305","Equipment",3.41,1.59,"repair below $200","range"
"6267","305_range/oven                               ","8/16/2010",371.12,32.06,"200DB",5,"305","Equipment",3.38,1.62,"None","range"
"6268","305_refrigerator 615                         ","8/16/2010",511.72,44.21,"200DB",5,"305","Equipment",3.38,1.62,"None","refrigerator"
"6269","305_dishwasher 615                           ","8/16/2010",255.34,22.06,"200DB",5,"305","Equipment",3.38,1.62,"None","dishwasher"
"6270","305_range hood 604                           ","8/23/2010",35.13,3.04,"200DB",5,"305","Equipment",3.36,1.64,"repair below $200","range"
"6271","305_range hood                               ","8/23/2010",43.03,3.72,"200DB",5,"305","Equipment",3.36,1.64,"repair below $200","range"
"6272","305_stove for down unit 604                  ","8/26/2010",319.34,27.59,"200DB",5,"305","Equipment",3.35,1.65,"None","range"
"6273","305_refrigerator 604                         ","8/26/2010",470.89,40.69,"200DB",5,"305","Equipment",3.35,1.65,"None","refrigerator"
"6274","305_dishwasher 604                           ","8/26/2010",229.49,19.82,"200DB",5,"305","Equipment",3.35,1.65,"None","dishwasher"
"6275","305_2 r-22 condensing units                  ","9/3/2010",1314.26,1156.95,"S/L",27.5,"305","Capital Improvements",3.33,24.17,"None","condenser"
"6276","305_1107 range hoods                         ","9/8/2010",35.13,3.04,"200DB",5,"305","Equipment",3.32,1.68,"repair below $200","range"
"6277","305_317 window unit                          ","9/14/2010",247.07,217.51,"S/L",27.5,"305","Capital Improvements",3.3,24.2,"None","None"
"6278","305_2 ton cond unit                          ","9/14/2010",616.16,542.39,"S/L",27.5,"305","Capital Improvements",3.3,24.2,"None","HVAC"
"6286","305_ac & heat                                ","10/28/2010",1290.17,1139.64,"S/L",27.5,"305","Capital Improvements",3.18,24.32,"None","None"
"6290","305_interior painting                        ","11/18/2010",8088.64,7169.48,"S/L",27.5,"305","Furniture & Fixtures",3.12,24.38,"None","painting"
"6291","305_hvac                                     ","11/18/2010",264.89,234.8,"S/L",27.5,"305","Capital Improvements",3.12,24.38,"None","None"
"6292","305_hvac                                     ","11/18/2010",605.12,536.37,"S/L",27.5,"305","Capital Improvements",3.12,24.38,"None","None"
"6293","305_interior painting                        ","11/22/2010",122.68,108.74,"S/L",27.5,"305","Furniture & Fixtures",3.11,24.39,"repair below $200","painting"
"6296","305_mgmt fee                                 ","11/30/2010",908.1,804.91,"S/L",27.5,"305","Capital Improvements",3.09,24.41,"None","supervision"
"6297","305_supplies for down units                  ","12/2/2010",955.88,850.15,"S/L",27.5,"305","Capital Improvements",3.08,24.42,"None","supplies"
"6298","305_sink for down unit                       ","12/2/2010",68.64,61.04,"S/L",27.5,"305","Capital Improvements",3.08,24.42,"repair below $200","None"
"6299","305_replace front door & paint               ","12/2/2010",162.38,144.43,"S/L",27.5,"305","Capital Improvements",3.08,24.42,"repair below $200","painting"
"6300","305_install front door                       ","12/2/2010",162.37,144.42,"S/L",27.5,"305","Capital Improvements",3.08,24.42,"repair below $200","doors"
"6301","305_patio door                               ","12/15/2010",219.75,195.45,"S/L",27.5,"305","Capital Improvements",3.05,24.45,"None","doors"
"6315","305_1003/1005/905 floor repair               ","12/21/2010",920.12,818.35,"S/L",27.5,"305","Capital Improvements",3.03,24.47,"None","repair"
"6316","305_pt/drywl repair dwn unit                 ","12/21/2010",260.1,231.33,"S/L",27.5,"305","Capital Improvements",3.03,24.47,"None","repair"
"6317","305_pt/kiltz/drywl repair                    ","12/21/2010",235.1,209.09,"S/L",27.5,"305","Capital Improvements",3.03,24.47,"None","repair"
"6318","305_1003 paint & repair sheet                ","12/21/2010",330.1,293.6,"S/L",27.5,"305","Capital Improvements",3.03,24.47,"None","painting"
"6320","305_paint to finish dwn unit                 ","12/30/2010",267.25,237.69,"S/L",27.5,"305","Capital Improvements",3.01,24.49,"None","painting"
"6321","305_full cln/ down unit                      ","12/30/2010",80,71.15,"S/L",27.5,"305","Capital Improvements",3.01,24.49,"repair below $200","None"
"6322","305_install entry & patio door               ","12/30/2010",162.38,144.43,"S/L",27.5,"305","Capital Improvements",3.01,24.49,"repair below $200","doors"
"6323","305_install & paint door                     ","12/30/2010",162.37,144.42,"S/L",27.5,"305","Capital Improvements",3.01,24.49,"repair below $200","painting"
"6324","305_subfloor repair                          ","12/30/2010",1299,1155.31,"S/L",27.5,"305","Capital Improvements",3.01,24.49,"None","repair"
"6325","305_supplies for down units                  ","12/30/2010",4893.84,4352.55,"S/L",27.5,"305","Capital Improvements",3.01,24.49,"None","supplies"
"6326","305_hvac                                     ","12/30/2010",4235.83,3767.32,"S/L",27.5,"305","Capital Improvements",3.01,24.49,"None","None"
"6327","305_management fee                           ","12/31/2010",2699.4,2400.83,"S/L",27.5,"305","Capital Improvements",3,24.5,"None","None"
"6328","305_ paint #802/308/809/611                  ","1/6/2011",621.14,554.31,"S/L",27.5,"305","Capital Improvements",2.99,24.51,"None","painting"
"6329","305_ vinyl #802                              ","1/6/2011",1425.32,1271.99,"S/L",27.5,"305","Capital Improvements",2.99,24.51,"None","vinyl"
"6330","305_ac & heat                                ","3/2/2011",1050,943.41,"S/L",27.5,"305","Capital Improvements",2.84,24.66,"None","None"
"6331","305_ac & heat                                ","3/2/2011",1902.8,1709.64,"S/L",27.5,"305","Capital Improvements",2.84,24.66,"None","None"
"6337","305_construction travel                      ","1/17/2011",177.95,158.81,"S/L",27.5,"305","Capital Improvements",2.96,24.54,"repair below $200","supervision"
"6342","305_field supervision                        ","1/18/2011",248.73,221.98,"S/L",27.5,"305","Capital Improvements",2.95,24.55,"None","supervision"
"6343","305_field supervision                        ","3/31/2011",735.63,660.95,"S/L",27.5,"305","Capital Improvements",2.76,24.74,"None","supervision"
"6345","305_interior paint                           ","2/10/2011",206.06,184.52,"S/L",27.5,"305","Capital Improvements",2.89,24.61,"None","painting"
"6347","305_mgmt fee                                 ","1/31/2011",1620,1445.73,"S/L",27.5,"305","Capital Improvements",2.92,24.58,"None","supervision"
"6348","305_mgmt fee                                 ","2/28/2011",20.6,18.44,"S/L",27.5,"305","Capital Improvements",2.84,24.66,"repair below $200","supervision"
"6349","305_mgmt fee                                 ","3/31/2011",73.6,66.12,"S/L",27.5,"305","Capital Improvements",2.76,24.74,"repair below $200","supervision"
"6350","305_mgmt fee                                 ","4/30/2011",1728.4,1558.18,"S/L",27.5,"305","Capital Improvements",2.67,24.83,"None","supervision"
"6352","305_paint & repairs #802                     ","1/6/2011",645.1,575.7,"S/L",27.5,"305","Capital Improvements",2.99,24.51,"None","painting"
"6353","305_patio door & install #802                ","1/6/2011",241.39,215.42,"S/L",27.5,"305","Capital Improvements",2.99,24.51,"None","doors"
"6357","305_resf bathrm #308/611/802/809             ","1/6/2011",1582,1411.81,"S/L",27.5,"305","Capital Improvements",2.99,24.51,"None","None"
"6358","305_resf bthrom #602                         ","1/6/2011",230,205.26,"S/L",27.5,"305","Capital Improvements",2.99,24.51,"None","None"
"6359","305_resurf tub&tile #1003&308                ","1/12/2011",525,468.52,"S/L",27.5,"305","Capital Improvements",2.97,24.53,"None","tile"
"6360","305_shtrock repr #611/308                    ","1/6/2011",496.32,442.92,"S/L",27.5,"305","Capital Improvements",2.99,24.51,"None","None"
"6365","305_vinyl #809                               ","1/6/2011",861.33,768.67,"S/L",27.5,"305","Capital Improvements",2.99,24.51,"None","vinyl"
"6366","305_vinyl apt 308                            ","1/6/2011",898.01,801.42,"S/L",27.5,"305","Capital Improvements",2.99,24.51,"None","vinyl"
"6367","305_vinyl apt 611                            ","1/6/2011",871.37,777.62,"S/L",27.5,"305","Capital Improvements",2.99,24.51,"None","vinyl"
"6368","air conditioning & heat                      ","6/1/2011",1166.93,1059.09,"S/L",27.5,"305","Capital Improvements",2.59,24.91,"None","HVAC"
"6369","air conditioning & heat                      ","7/1/2011",550.99,501.73,"S/L",27.5,"305","Capital Improvements",2.5,25,"None","HVAC"
"6371","concrete masonry units                       ","12/1/2011",2575,2383.82,"S/L",27.5,"305","Capital Improvements",2.08,25.42,"None","None"
"6372","construction travel                          ","11/1/2011",14.55,13.42,"S/L",27.5,"305","Capital Improvements",2.17,25.33,"repair below $200","supervision"
"6380","field supervision                            ","11/1/2011",221.85,204.7,"S/L",27.5,"305","Capital Improvements",2.17,25.33,"None","supervision"
"6381","interior painting-apt int                    ","8/1/2011",362.42,331.12,"S/L",27.5,"305","Capital Improvements",2.42,25.08,"None","painting"
"6399","supervision                                  ","6/1/2011",208.5,189.23,"S/L",27.5,"305","Capital Improvements",2.59,24.91,"None","supervision"
"6400","supervision                                  ","8/1/2011",227.74,208.07,"S/L",27.5,"305","Capital Improvements",2.42,25.08,"None","supervision"
"6401","supervision                                  ","11/1/2011",23.64,21.81,"S/L",27.5,"305","Capital Improvements",2.17,25.33,"repair below $200","supervision"
"6402","supervision                                  ","12/1/2011",257.5,238.39,"S/L",27.5,"305","Capital Improvements",2.08,25.42,"None","supervision"
"6403","air conditioning & heat                      ","11/1/2012",648.42,621.89,"S/L",27.5,"305","Capital Improvements",1.16,26.34,"None","HVAC"
"6404","air conditioning & heat                      ","10/1/2012",3000.64,2868.8,"S/L",27.5,"305","Capital Improvements",1.25,26.25,"None","HVAC"
"6405","air conditioning & heat                      ","9/1/2012",547.44,521.72,"S/L",27.5,"305","Capital Improvements",1.33,26.17,"None","HVAC"
"6406","air conditioning & heat                      ","8/1/2012",729.34,692.87,"S/L",27.5,"305","Capital Improvements",1.42,26.08,"None","HVAC"
"6407","air conditioning & heat                      ","7/1/2012",98.75,93.51,"S/L",27.5,"305","Capital Improvements",1.5,26,"repair below $200","HVAC"
"6408","air conditioning & heat                      ","5/1/2012",1089.06,1024.71,"S/L",27.5,"305","Capital Improvements",1.67,25.83,"None","HVAC"
"6409","air conditioning & heat                      ","4/1/2012",496.87,466,"S/L",27.5,"305","Capital Improvements",1.75,25.75,"None","HVAC"
"6410","air conditioning & heat                      ","1/1/2012",634.95,589.73,"S/L",27.5,"305","Capital Improvements",2,25.5,"None","HVAC"
"6411","asphalt paving                               ","10/1/2012",8880,3796.2,"150DB",15,"305","Capital Improvements",1.25,13.75,"None","asphalt"
"6412","brick-apt int                                ","8/1/2012",4505,4279.75,"S/L",27.5,"305","Capital Improvements",1.42,26.08,"None","brick"
"6413","construction travel                          ","12/1/2012",33.47,32.2,"S/L",27.5,"305","Capital Improvements",1.08,26.42,"repair below $200","supervision"
"6414","construction travel                          ","10/1/2012",89.56,85.62,"S/L",27.5,"305","Capital Improvements",1.25,26.25,"repair below $200","supervision"
"6415","construction travel                          ","7/1/2012",13.4,12.69,"S/L",27.5,"305","Capital Improvements",1.5,26,"repair below $200","supervision"
"6416","construction travel                          ","4/1/2012",15.05,14.11,"S/L",27.5,"305","Capital Improvements",1.75,25.75,"repair below $200","supervision"
"6417","construction travel                          ","1/1/2012",5.75,5.34,"S/L",27.5,"305","Capital Improvements",2,25.5,"repair below $200","supervision"
"6419","air conditioning & heat                      ","3/1/2013",1146.36,1113.36,"S/L",27.5,"305","Capital Improvements",0.84,26.66,"None","HVAC"
"6420","air conditioning & heat                      ","7/1/2013",1296.83,1275.22,"S/L",27.5,"305","Capital Improvements",0.5,27,"None","HVAC"
"6421","basic electrical-apt int                     ","12/1/2013",23680,23644.12,"S/L",27.5,"305","Capital Improvements",0.08,27.42,"None","electrical"
